SLV,El Salvador,Latin America & Caribbean,Lower middle income,Banco Agricola,Bank,Cash to cash,Less than one hour,200,4.5,500,1.8,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,Bancomercio,Bank,Cash to cash,Less than one hour,200,5,500,2,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,La Nacional,Money Transfer Operator,Cash to cash,Same day,200,5,500,2,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,MoneyGram,Money Transfer Operator,Cash to cash,Less than one hour,200,5,500,2,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,MoneyGram,Money Transfer Operator,Online service,3-5 days,200,5,500,3,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,Viamericas,Money Transfer Operator,Cash to cash,Same day,200,5,500,2,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,Vigo,Money Transfer Operator,Cash to cash,Less than one hour,200,5,500,2,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,Wells Fargo,Bank,Cash to account,Same day,200,5,500,2,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,Western Union,Money Transfer Operator,Cash to cash,Next day,200,5,500,2,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,Western Union,Money Transfer Operator,Cash to cash,Less than one hour,200,6,500,2.4,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,MoneyGram,Money Transfer Operator,Online service,Less than one hour,200,7,500,6.2,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,Western Union,Money Transfer Operator,Online service,Less than one hour,200,13.5,500,10.2,,27/Jan/2011,USASLV
SLV,El Salvador,Latin America & Caribbean,Lower middle income,Western Union,Money Transfer Operator,Credit/debit card service,Less than one hour,200,16.5,500,10.6,,27/Jan/2011,USASLV
GHA,Ghana,Sub-Saharan Africa,Lower middle income,Ria,Money Transfer Operator,Cash to cash,Same day,200,8.6,500,6.6,,24/Jan/2011,USAGHA
GHA,Ghana,Sub-Saharan Africa,Lower middle income,MoneyGram,Money Transfer Operator,Cash to cash,Less than one hour,200,8.94,500,5.95,,24/Jan/2011,USAGHA
GHA,Ghana,Sub-Saharan Africa,Lower middle income,MoneyGram,Money Transfer Operator,Online service,3-5 days,200,8.95,500,6.95,,24/Jan/2011,USAGHA
GHA,Ghana,Sub-Saharan Africa,Lower middle income,Vigo,Money Transfer Operator,Cash to cash,Same day,200,9.11,500,6.41,,24/Jan/2011,USAGHA
GHA,Ghana,Sub-Saharan Africa,Lower middle income,Coinstar,Money Transfer Operator,Cash to cash,Same day,200,9.26,500,7.26,,24/Jan/2011,USAGHA
GHA,Ghana,Sub-Saharan Africa,Lower middle income,Liberty Transfer,Money Transfer Operator,Cash to cash,Next day,200,10.71,500,8.63,,24/Jan/2011,USAGHA
GHA,Ghana,Sub-Saharan Africa,Lower middle income,MoneyGram,Money Transfer Operator,Online service,Same day,200,10.95,500,10.15,,24/Jan/2011,USAGHA
GHA,Ghana,Sub-Saharan Africa,Lower middle income,Western Union,Money Transfer Operator,Account to cash,Less than one hour,200,12.61,500,12.41,,24/Jan/2011,USAGHA
